product_id,product_name,category,main_category,sub_category,discounted_price_clean,actual_price_clean,discount_pct_clean,rating_clean,rating_count_clean,economia_absoluta,faixa_preco,faixa_desconto,volume_reviews_bin,img_link,product_link,review_rows,PSI
B0711PVX6Z,"AmazonBasics Micro USB Fast Charging Cable for Android Phones with Gold Plated Connectors (3 Feet, Black)",Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,Computers&Accessories,Accessories&Peripherals,179.0,500.0,64.0,4.2,92595.0,321.0,budget,high,high,https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/31iESA2h2gL._SY300_SX300_QL70_FMwebp_.jpg,https://www.amazon.in/AmazonBasics-Micro-Charging-Android-Phones/dp/B0711PVX6Z/ref=sr_1_55?qid=1672909126&s=electronics&sr=1-55,1,76.84615679969032
B014I8SX4Y,"Amazon Basics High-Speed HDMI Cable, 6 Feet (2-Pack),Black","Electronics|HomeTheater,TV&Video|Accessories|Cables|HDMICables",Electronics,"HomeTheater,TV&Video",309.0,1400.0,78.0,4.4,426973.0,1091.0,budget,high,high,https://m.media-amazon.com/images/I/41eJqkFjCRL._SY300_SX300_QL70_FMwebp_.jpg,https://www.amazon.in/AmazonBasics-High-Speed-Cable-2-Pack-Black/dp/B014I8SX4Y/ref=sr_1_73?qid=1672909128&s=electronics&sr=1-73,1,87.74468085106383
B07KSMBL2H,"AmazonBasics Flexible Premium HDMI Cable (Black, 4K@60Hz, 18Gbps), 3-Foot","Electronics|HomeTheater,TV&Video|Accessories|Cables|HDMICables",Electronics,"HomeTheater,TV&Video",219.0,700.0,69.0,4.4,426973.0,481.0,budget,high,high,https://m.media-amazon.com/images/I/41nPYaWA+ML._SY300_SX300_.jpg,https://www.amazon.in/AmazonBasics-Flexible-HDMI-Cable-3-Foot/dp/B07KSMBL2H/ref=sr_1_14?qid=1672909124&s=electronics&sr=1-14,2,85.35106382978724
B07Q4QV1DL,"ELV Aluminum Adjustable Mobile Phone Foldable Tabletop Stand Dock Mount for All Smartphones, Tabs, Kindle, iPad (Black)",Electronics|Mobiles&Accessories|MobileAccessories|Stands,Electronics,Mobiles&Accessories,269.0,1499.0,82.0,4.5,28978.0,1230.0,budget,high,high,https://m.media-amazon.com/images/I/31hDWwY8iWL._SX300_SY300_QL70_ML2_.jpg,https://www.amazon.in/Aluminum-Adjustable-Mobile-Foldable-Smartphones/dp/B07Q4QV1DL/ref=sr_1_149?qid=1672895791&s=electronics&sr=1-149,1,82.20687248932741
B088ZFJY82,"Elv Aluminium Adjustable Mobile Phone Foldable Holder Tabletop Stand Dock Mount for All Smartphones, Tabs, Kindle, iPad (Moonlight Silver)",Electronics|Mobiles&Accessories|MobileAccessories|Stands,Electronics,Mobiles&Accessories,314.0,1499.0,79.0,4.5,28978.0,1185.0,budget,high,high,https://m.media-amazon.com/images/I/41pmcRIe45L._SX300_SY300_QL70_ML2_.jpg,https://www.amazon.in/Aluminium-Adjustable-Mobile-Foldable-Smartphones/dp/B088ZFJY82/ref=sr_1_493?qid=1672895894&s=electronics&sr=1-493,1,81.40900014890188
B09MT84WV5,"Samsung EVO Plus 128GB microSDXC UHS-I U3 130MB/s Full HD & 4K UHD Memory Card with Adapter (MB-MC128KA), Blue",Electronics|Accessories|MemoryCards|MicroSD,Electronics,Accessories,1149.0,3999.0,71.0,4.3,140036.0,2850.0,mid,high,high,https://m.media-amazon.com/images/I/31R6RP26dzL._SY300_SX300_QL70_ML2_.jpg,https://www.amazon.in/Samsung-microSDXC-Memory-Adapter-MB-MC128KA/dp/B09MT84WV5/ref=sr_1_66?qid=1672895762&s=electronics&sr=1-66,2,81.26134133254504
B08L5FM4JC,"SanDisk Ultra microSD UHS-I Card 64GB, 120MB/s R",Electronics|Accessories|MemoryCards|MicroSD,Electronics,Accessories,649.0,2400.0,73.0,4.4,67260.0,1751.0,mid,high,high,https://m.media-amazon.com/images/I/41ML8ZbPiiL._SY300_SX300_QL70_ML2_.jpg,https://www.amazon.in/SanDisk-Ultra-microSD-UHS-I-120MB/dp/B08L5FM4JC/ref=sr_1_312?qid=1672895835&s=electronics&sr=1-312,1,80.96354362237584
B09MT6XSFW,"Samsung EVO Plus 64GB microSDXC UHS-I U1 130MB/s Full HD & 4K UHD Memory Card with Adapter (MB-MC64KA), Blue",Electronics|Accessories|MemoryCards|MicroSD,Electronics,Accessories,599.0,1899.0,68.0,4.3,140036.0,1300.0,mid,high,high,https://m.media-amazon.com/images/I/31P2d7102lL._SY300_SX300_QL70_ML2_.jpg,https://www.amazon.in/Samsung-microSDXC-Memory-Adapter-MB-MC64KA/dp/B09MT6XSFW/ref=sr_1_85?qid=1672895770&s=electronics&sr=1-85,1,80.46346899211952
B07GXHC691,"STRIFF PS2_01 Multi Angle Mobile/Tablet Tabletop Stand. Phone Holder for iPhone, Android, Samsung, OnePlus, Xiaomi. Portable, Foldable Cell Phone Stand. Perfect for Bed, Office, Home & Desktop (Black)",Electronics|Mobiles&Accessories|MobileAccessories|Stands,Electronics,Mobiles&Accessories,99.0,499.0,80.0,4.3,42641.0,400.0,budget,high,high,https://m.media-amazon.com/images/I/31iE517+NFL._SY300_SX300_.jpg,https://www.amazon.in/STRIFF-Mobile-Android-Samsung-OnePlus/dp/B07GXHC691/ref=sr_1_73?qid=1672895770&s=electronics&sr=1-73,1,80.14764213520795
B07GPXXNNG,boAt Bassheads 100 in Ear Wired Earphones with Mic(Taffy Pink),"Electronics|Headphones,Earbuds&Accessories|Headphones|In-Ear",Electronics,"Headphones,Earbuds&Accessories",349.0,999.0,65.0,4.1,363713.0,650.0,budget,high,high,https://m.media-amazon.com/images/I/31J6I7SrLXL._SX300_SY300_QL70_ML2_.jpg,https://www.amazon.in/Boat-BassHeads-100-Inspired-Earphones/dp/B07GPXXNNG/ref=sr_1_21?qid=1672895748&s=electronics&sr=1-21,1,79.81424415376947
