product_id,product_name,category,main_category,sub_category,discounted_price_clean,actual_price_clean,discount_pct_clean,rating_clean,rating_count_clean,economia_absoluta,faixa_preco,faixa_desconto,volume_reviews_bin,img_link,product_link,review_rows,PSI,cluster,pca_1,pca_2,cluster_name
B09MT84WV5,"Samsung EVO Plus 128GB microSDXC UHS-I U3 130MB/s Full HD & 4K UHD Memory Card with Adapter (MB-MC128KA), Blue",Electronics|Accessories|MemoryCards|MicroSD,Electronics,Accessories,1149.0,3999.0,71.0,4.3,140036.0,2850.0,mid,high,high,https://m.media-amazon.com/images/I/31R6RP26dzL._SY300_SX300_QL70_ML2_.jpg,https://www.amazon.in/Samsung-microSDXC-Memory-Adapter-MB-MC128KA/dp/B09MT84WV5/ref=sr_1_66?qid=1672895762&s=electronics&sr=1-66,2,81.26134133254504,2,3.5631256945846523,0.0810813227170386,segmento misto
B07BKSSDR2,Dr Trust Electronic Kitchen Digital Scale Weighing Machine (Blue),Health&PersonalCare|HomeMedicalSupplies&Equipment|HealthMonitors|WeighingScales|DigitalBathroomScales,Health&PersonalCare,HomeMedicalSupplies&Equipment,899.0,1900.0,53.0,4.0,3663.0,1001.0,mid,high,high,https://m.media-amazon.com/images/I/41csvHnDvES._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/Dr-Trust-Electronic-Kitchen-Weighing/dp/B07BKSSDR2/ref=sr_1_265?qid=1672923605&s=kitchen&sr=1-265,1,61.72754300806098,4,-0.09677847589566,0.5754487735167072,barato com alto desconto
B0B53DS4TF,"Instant Pot Air Fryer, Vortex 2QT, Touch Control Panel, 360° EvenCrisp™ Technology, Uses 95 % less Oil, 4-in-1 Appliance: Air Fry, Roast, Bake, Reheat (Vortex 1.97Litre, Black)",Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|DeepFatFryers|AirFryers,Home&Kitchen,Kitchen&HomeAppliances,4995.0,20049.0,75.0,4.8,3964.0,15054.0,premium,high,high,https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/313WfOy8VSL._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/Instant-Vortex-2QT-EvenCrispTM-Technology/dp/B0B53DS4TF/ref=sr_1_316?qid=1672923609&s=kitchen&sr=1-316,1,78.47814856509594,4,2.653465441168663,-0.6189629508317585,barato com alto desconto
B01LWYDEQ7,"Pigeon Polypropylene Mini Handy and Compact Chopper with 3 Blades for Effortlessly Chopping Vegetables and Fruits for Your Kitchen (12420, Green, 400 ml)",Home&Kitchen|Kitchen&Dining|KitchenTools|ManualChoppers&Chippers|Choppers,Home&Kitchen,Kitchen&Dining,199.0,495.0,60.0,4.1,270563.0,296.0,budget,high,high,https://m.media-amazon.com/images/I/41cVgYgAKpL._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/Pigeon-Stovekraft-Plastic-Chopper-Blades/dp/B01LWYDEQ7/ref=sr_1_12?qid=1672923591&s=kitchen&sr=1-12,1,77.61177969256208,2,4.151645405616015,-0.1595951263376444,segmento misto
B0BR4F878Q,"Swiffer Instant Electric Water Heater Faucet Tap Home-Kitchen Instantaneous Water Heater Tank less for Tap, LED Electric Head Water Heaters Tail Gallon Comfort(3000W) ((Pack of 1))","Home&Kitchen|Heating,Cooling&AirQuality|WaterHeaters&Geysers|InstantWaterHeaters",Home&Kitchen,"Heating,Cooling&AirQuality",1439.0,1999.0,28.0,4.8,53803.0,560.0,mid,medium,high,https://m.media-amazon.com/images/I/41+t2HWvwFL._SY300_SX300_.jpg,https://www.amazon.in/Swiffer-Instant-Electric-Home-Kitchen-Instantaneous/dp/B0BR4F878Q/ref=sr_1_150?qid=1672923597&s=kitchen&sr=1-150,1,73.67033619783273,4,2.008977497031581,-1.7755315075591682,barato com alto desconto
B08GJ57MKL,"Coway Professional Air Purifier for Home, Longest Filter Life 8500 Hrs, Green True HEPA Filter, Traps 99.99% Virus & PM 0.1 Particles, Warranty 7 Years (AirMega 150 (AP-1019C))","Home&Kitchen|Heating,Cooling&AirQuality|AirPurifiers|HEPAAirPurifiers",Home&Kitchen,"Heating,Cooling&AirQuality",14400.0,59900.0,76.0,4.4,3837.0,45500.0,luxury,high,high,https://m.media-amazon.com/images/I/51b5sh94f7L._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/Coway-Professional-Purifier-Anti-Virus-AP-1019C/dp/B08GJ57MKL/ref=sr_1_195?qid=1672923600&s=kitchen&sr=1-195,1,73.31474883995588,4,1.5910282603144046,-0.6187227042380807,barato com alto desconto
B083GKDRKR,"Havells Aqua Plus 1.2 litre Double Wall Kettle / 304 Stainless Steel Inner Body / Cool touch outer body / Wider mouth/ 2 Year warranty (Black, 1500 Watt)",Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|Kettles&HotWaterDispensers|ElectricKettles,Home&Kitchen,Kitchen&HomeAppliances,1625.0,2995.0,46.0,4.5,23484.0,1370.0,mid,medium,high,https://m.media-amazon.com/images/I/31S74o1sCSS._SY300_SX300_QL70_FMwebp_.jpg,https://www.amazon.in/HAVELLS-Kettle-Coffee-Boiler-Stainless/dp/B083GKDRKR/ref=sr_1_30?qid=1672923591&s=kitchen&sr=1-30,1,72.0123626146143,4,1.4712283409649936,-0.6573000049606712,barato com alto desconto
B07R99NBVB,"Gizga Essentials Cable Organiser, Cord Management System for PC, TV, Home Theater, Speaker & Cables, Reusable Cable Organizer for Desk, WFH Accessories, Organizer Tape Roll, Reusable Cable Ties Strap",HomeImprovement|Electrical|CordManagement,HomeImprovement,Electrical,249.0,599.0,58.0,4.5,5985.0,350.0,budget,high,high,https://m.media-amazon.com/images/I/51llGK9TR+L._SY300_SX300_.jpg,https://www.amazon.in/Essentials-Reusable-Double-Organizer-Length/dp/B07R99NBVB/ref=sr_1_444?qid=1672903017&s=computers&sr=1-444,1,71.1718793077319,4,1.4528034651895867,-0.1596756467537744,barato com alto desconto
B07WKBD37W,"ESnipe Mart Worldwide Travel Adapter with Build in Dual USB Charger Ports with 125V 6A, 250V Protected Electrical Plug for Laptops, Cameras (White)",HomeImprovement|Electrical|Adapters&Multi-Outlets,HomeImprovement,Electrical,425.0,999.0,57.0,4.0,2581.0,574.0,budget,high,high,https://m.media-amazon.com/images/I/31w-19-3fSL._SY300_SX300_QL70_FMwebp_.jpg,https://www.amazon.in/ESnipe-Mart-Worldwide-Protected-Electrical/dp/B07WKBD37W/ref=sr_1_242?qid=1672903007&s=computers&sr=1-242,1,61.7590258693997,4,-0.0295381763955834,0.7281542851291974,barato com alto desconto
B076B8G5D8,Boya ByM1 Auxiliary Omnidirectional Lavalier Condenser Microphone with 20ft Audio Cable (Black),MusicalInstruments|Microphones|Condenser,MusicalInstruments,Microphones,798.0,1995.0,60.0,4.0,68664.0,1197.0,mid,high,high,https://m.media-amazon.com/images/I/41UYenF+lnL._SX300_SY300_.jpg,https://www.amazon.in/Boya-Omnidirectional-Lavalier-Condenser-Microphone/dp/B076B8G5D8/ref=sr_1_32?qid=1672902996&s=computers&sr=1-32,1,72.23370013587535,4,1.5242062011397135,0.5690391217367801,barato com alto desconto
B07JF9B592,MAONO AU-400 Lavalier Auxiliary Omnidirectional Microphone (Black),MusicalInstruments|Microphones|Condenser,MusicalInstruments,Microphones,478.0,699.0,32.0,3.8,20218.0,221.0,budget,medium,high,https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/413viCgpI+L._SY300_SX300_.jpg,https://www.amazon.in/Maono-AU-400-Lavalier-Microphone-Black/dp/B07JF9B592/ref=sr_1_237?qid=1672903006&s=computers&sr=1-237,1,58.51394882138293,1,-0.8146849258725821,0.3436521999471033,segmento misto
B00UGZWM2I,COI Note Pad/Memo Book with Sticky Notes & Clip Holder with Pen for Gifting,"OfficeProducts|OfficePaperProducts|Paper|Stationery|Notebooks,WritingPads&Diaries|Notepads&MemoBooks",OfficeProducts,OfficePaperProducts,198.0,800.0,75.0,4.1,9344.0,602.0,budget,high,high,https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/41oLhpKArFL._SY300_SX300_QL70_FMwebp_.jpg,https://www.amazon.in/COI-Sticky-Notes-Holder-Gifting/dp/B00UGZWM2I/ref=sr_1_128?qid=1672903001&s=computers&sr=1-128,1,71.6736441618302,4,1.279876531649691,1.0281011747356632,barato com alto desconto
B00N1U7JXM,"3M Post-it Sticky Note Cube, 200 Sheets (4 Colors x 50 Sheets) | 3"" x 3"" Size | For notes, reminders, study, school and organizing","OfficeProducts|OfficePaperProducts|Paper|Stationery|Notebooks,WritingPads&Diaries|Notepads&MemoBooks",OfficeProducts,OfficePaperProducts,90.0,175.0,49.0,4.4,7429.0,85.0,budget,medium,high,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/41yNejBMf+L._SY300_SX300_.jpg,https://www.amazon.in/Post-Cubes-sheets-colours-inches/dp/B00N1U7JXM/ref=sr_1_262_mod_primary_new?qid=1672903007&s=computers&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-262,1,68.08235277488372,4,0.9316263247910258,-0.2152062230143633,barato com alto desconto
B08XNL93PL,"Portronics Ruffpad 15 Re-Writable LCD Screen 38.1cm (15-inch) Writing Pad for Drawing, Playing, Handwriting Gifts for Kids & Adults (Grey)","OfficeProducts|OfficePaperProducts|Paper|Stationery|Notebooks,WritingPads&Diaries",OfficeProducts,OfficePaperProducts,1399.0,2999.0,53.0,4.3,3530.0,1600.0,mid,high,high,https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/41NxAkv7knL._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/Portronics-Ruffpad-Re-Writable-15-inch-Handwriting/dp/B08XNL93PL/ref=sr_1_407?qid=1672903014&s=computers&sr=1-407,1,65.61848214953547,4,0.6122069190644596,-0.0130597955615346,barato com alto desconto
B00LHZW3XY,"Luxor 5 Subject Single Ruled Notebook - A5 Size, 70 GSM, 300 Pages","OfficeProducts|OfficePaperProducts|Paper|Stationery|Notebooks,WritingPads&Diaries|CompositionNotebooks",OfficeProducts,OfficePaperProducts,125.0,180.0,31.0,4.4,8053.0,55.0,budget,medium,high,https://m.media-amazon.com/images/I/41hF4CFTsGL._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/Luxor-Subject-Single-Ruled-Notebook/dp/B00LHZW3XY/ref=sr_1_213_mod_primary_new?qid=1672903005&s=computers&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-213,1,63.53298633532738,0,0.2627682540153362,-0.7119747294713827,segmento misto
B00LHZWD0C,"Luxor 5 Subject Single Ruled Notebook - A4, 70 GSM, 300 pages","OfficeProducts|OfficePaperProducts|Paper|Stationery|Notebooks,WritingPads&Diaries|CompositionNotebooks",OfficeProducts,OfficePaperProducts,252.0,315.0,20.0,4.5,3785.0,63.0,budget,medium,high,https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/51mCZQzY6SL._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/Luxor-Subject-Single-Ruled-Notebook/dp/B00LHZWD0C/ref=sr_1_193?qid=1672903005&s=computers&sr=1-193,1,59.714228134044745,0,-0.1416289809483767,-1.18881467592417,segmento misto
B00DJ5N9VK,Faber-Castell Connector Pen Set - Pack of 25 (Assorted),Toys&Games|Arts&Crafts|Drawing&PaintingSupplies|ColouringPens&Markers,Toys&Games,Arts&Crafts,150.0,150.0,0.0,4.3,15867.0,0.0,budget,low,high,https://m.media-amazon.com/images/I/41rJGx-w9iL._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/Faber-Castell-Connector-Pen-Set-Assorted/dp/B00DJ5N9VK/ref=sr_1_381?qid=1672903013&s=computers&sr=1-381,1,55.95522625663581,0,-0.9353448997218632,-1.4044631853630862,segmento misto
