product_id,product_name,category,main_category,sub_category,discounted_price_clean,actual_price_clean,discount_pct_clean,rating_clean,rating_count_clean,economia_absoluta,faixa_preco,faixa_desconto,volume_reviews_bin,img_link,product_link,review_rows,PSI,cluster,pca_1,pca_2,cluster_name
B09ZHCJDP1,"Amazon Basics Wireless Mouse | 2.4 GHz Connection, 1600 DPI | Type - C Adapter | Upto 12 Months of Battery Life | Ambidextrous Design | Suitable for PC/Mac/Laptop","Computers&Accessories|Accessories&Peripherals|Keyboards,Mice&InputDevices|Mice",Computers&Accessories,Accessories&Peripherals,499.0,1000.0,50.0,5.0,23.0,501.0,budget,medium,low,https://m.media-amazon.com/images/I/31+Rg6Z46dL._SX300_SY300_.jpg,https://www.amazon.in/Wireless-Connection-Battery-Ambidextrous-Suitable/dp/B09ZHCJDP1/ref=sr_1_209?qid=1672903005&s=computers&sr=1-209,1,59.43147045061059,4,0.99412149269734,-1.263484773903769,barato com alto desconto
B091JF2TFD,Boult Audio BassBuds Oak in-Ear Wired Earphones with 10mm Extra Bass Driver and HD Sound with mic(Brown),"Electronics|Headphones,Earbuds&Accessories|Headphones|In-Ear",Electronics,"Headphones,Earbuds&Accessories",499.0,1299.0,62.0,3.9,1173.0,800.0,budget,high,high,https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/411dgEJpANL._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/Boult-Audio-BassBuds-Oak-Earphones/dp/B091JF2TFD/ref=sr_1_302?qid=1672903010&s=computers&sr=1-302,1,59.430730381750976,1,-0.279083871054341,1.0503465765451283,segmento misto
B097JQ1J5G,"Zebronics ZEB-90HB USB Hub, 4 Ports, Pocket Sized, Plug & Play, for Laptop & Computers",Computers&Accessories|Accessories&Peripherals|USBHubs,Computers&Accessories,Accessories&Peripherals,179.0,499.0,64.0,3.4,9385.0,320.0,budget,high,high,https://m.media-amazon.com/images/I/31oMWLNvoVS._SY300_SX300_QL70_FMwebp_.jpg,https://www.amazon.in/Zebronics-ZEB-90HB-Pocket-Laptop-Computers/dp/B097JQ1J5G/ref=sr_1_174?qid=1672903004&s=computers&sr=1-174,1,59.42769176588233,1,-0.8355032650547524,2.009432740570245,segmento misto
B09KPXTZXN,"Rico Japanese Technology Rechargeable Wireless Electric Chopper with Replacement Warranty - Stainless Steel Blades, One Touch Operation, 10 Seconds Chopping, Mincing Vegetable, Meat - 250 ML, 30 Watts",Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|MiniFoodProcessors&Choppers,Home&Kitchen,Kitchen&HomeAppliances,949.0,1999.0,53.0,4.0,1679.0,1050.0,mid,high,high,https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/41JnGOKI2dL._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/Rico-Japanese-Technology-Rechargeable-Replacement/dp/B09KPXTZXN/ref=sr_1_220?qid=1672923601&s=kitchen&sr=1-220,1,59.42752903421047,4,-0.3007114812424467,0.581714603412041,barato com alto desconto
B01486F4G6,Borosil Jumbo 1000-Watt Grill Sandwich Maker (Black),Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|SandwichMakers,Home&Kitchen,Kitchen&HomeAppliances,2863.0,3690.0,22.0,4.3,6987.0,827.0,premium,medium,high,https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/51J2Wk-+c+L._SY300_SX300_.jpg,https://www.amazon.in/Borosil-Jumbo-1000-Watt-Grill-Sandwich/dp/B01486F4G6/ref=sr_1_506?qid=1672923617&s=kitchen&sr=1-506,1,59.38726280320903,0,-0.4063886710263299,-0.9920153966649029,segmento misto
B0B3XXSB1K,LG 139 cm (55 inches) 4K Ultra HD Smart LED TV 55UQ7500PSF (Ceramic Black),"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions",Electronics,"HomeTheater,TV&Video",47990.0,79990.0,40.0,4.3,1376.0,32000.0,luxury,medium,high,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/51dOjIreG4L._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/LG-inches-Ultra-55UQ7500PSF-Ceramic/dp/B0B3XXSB1K/ref=sr_1_445?qid=1672909146&s=electronics&sr=1-445,1,59.38343899099282,3,-0.7486480195991034,-4.11782612482584,premium bem avaliado
B01MRARGBW,Eco Crystal J 5 inch Cartridge (Pack of 2),Home&Kitchen|Kitchen&HomeAppliances|WaterPurifiers&Accessories|WaterPurifierAccessories,Home&Kitchen,Kitchen&HomeAppliances,199.0,400.0,50.0,4.1,1379.0,201.0,budget,medium,high,https://m.media-amazon.com/images/I/310wgAGevYL._SY445_SX342_QL70_FMwebp_.jpg,https://www.amazon.in/Crystal-Cartridge-size-Fresh-Clean/dp/B01MRARGBW/ref=sr_1_478?qid=1672923615&s=kitchen&sr=1-478,1,59.38276602713659,4,-0.21375292007627622,0.3794229034608055,barato com alto desconto
B0B53NXFFR,"PTron Newly Launched Force X10 Bluetooth Calling Smartwatch with 1.7"" Full Touch Display, Real Heart Rate Monitor, SpO2, Watch Faces, 5 Days Runtime, Health/Fitness Trackers & IP68 Waterproof (Black)",Electronics|WearableTechnology|SmartWatches,Electronics,WearableTechnology,1399.0,5999.0,77.0,3.3,4415.0,4600.0,mid,high,high,https://m.media-amazon.com/images/I/41BDYVKRmWL._SX300_SY300_QL70_ML2_.jpg,https://www.amazon.in/PTron-Force-Bluetooth-Smartwatch-Waterproof/dp/B0B53NXFFR/ref=sr_1_184?qid=1672895799&s=electronics&sr=1-184,1,59.32782331295089,1,-0.820165578102237,2.467762667451495,segmento misto
B00A7PLVU6,Orpat HHB-100E WOB 250-Watt Hand Blender (White),Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|HandBlenders,Home&Kitchen,Kitchen&HomeAppliances,753.0,899.0,16.0,4.2,18462.0,146.0,mid,low,high,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/21OWOIM1wML._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/Orpat-HHB-100E-WOB-250-Watt-Blender/dp/B00A7PLVU6/ref=sr_1_104?qid=1672923596&s=kitchen&sr=1-104,1,59.32397658877062,0,-0.5066208520730384,-0.8416133359544371,segmento misto
B078JBK4GX,"Havells Instanio 1-Litre 3KW Instant Water Heater (Geyser), White Blue","Home&Kitchen|Heating,Cooling&AirQuality|WaterHeaters&Geysers|InstantWaterHeaters",Home&Kitchen,"Heating,Cooling&AirQuality",2599.0,4560.0,43.0,4.4,646.0,1961.0,premium,medium,medium,https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/31991seDfcL._SY300_SX300_QL70_FMwebp_.jpg,https://www.amazon.in/Havells-Instanio-1-Litre-Instant-Geyser/dp/B078JBK4GX/ref=sr_1_244?qid=1672923605&s=kitchen&sr=1-244,1,59.28673589694811,0,0.025041800862008343,-0.5477398087892233,segmento misto
